side,name,page_link,bills,committees,district,party,title,image_url,saved_image
Senate,Robert Peters,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2934,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2934,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2934,13,D,,https://www.ilga.gov/images/members/%7B05AD9CBA-EA20-489D-9C33-3F39DC1F9B0C%7D.jpg,senate/robert-peters.jpg
Senate,Jason Plummer,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2935,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2935,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2935,54,R,,https://www.ilga.gov/images/members/%7BCE75DC7E-2CD4-4D01-B697-C2866F828E25%7D.jpg,senate/jason-plummer.jpg
Senate,Sue Rezin,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2830,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2830,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2830,38,R,,https://www.ilga.gov/images/members/%7B45666230-B77D-4162-A45E-6AC5587C4E56%7D.jpg,senate/sue-rezin.jpg
Senate,Chapin Rose,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2856,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2856,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2856,51,R,,https://www.ilga.gov/images/members/%7BBA95E1D1-0570-4492-B739-D1F593F183FD%7D.jpg,senate/chapin-rose.jpg
Senate,Mike Simmons,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=3008,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=3008,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=3008,7,D,,https://www.ilga.gov/images/members/%7B6EDEB1E8-2566-4659-ABF5-A9107C2912F0%7D.jpg,senate/mike-simmons.jpg
Senate,"Elgie R. Sims, Jr.",https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2918,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2918,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2918,17,D,,https://www.ilga.gov/images/members/%7B1EAF7721-A189-4CD1-B31D-CD39F79DBD04%7D.jpg,senate/elgie-r-sims-jr.jpg
Senate,Steve Stadelman,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2857,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2857,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2857,34,D,,https://www.ilga.gov/images/members/%7B47906765-AB0A-48BF-8C14-B5443B8F27C4%7D.jpg,senate/steve-stadelman.jpg
Senate,Brian W. Stewart,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2926,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2926,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2926,45,R,,https://www.ilga.gov/images/members/%7B9542D32E-E8F8-4E42-963E-23FC7621D747%7D.jpg,senate/brian-w-stewart.jpg
Senate,Win Stoller,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2985,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2985,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2985,37,R,,https://www.ilga.gov/images/members/%7B02AA7D94-3FC5-4F6D-A749-6CFFE11755D2%7D.jpg,senate/win-stoller.jpg
Senate,Dave Syverson,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2798,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2798,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2798,35,R,,https://www.ilga.gov/images/members/%7B6FD168B8-C34B-4399-8E39-7373F7600882%7D.jpg,senate/dave-syverson.jpg
Senate,Jil Tracy,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2899,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2899,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2899,47,R,,https://www.ilga.gov/images/members/%7B21C0F860-E9DD-4215-A3AA-703E275C8526%7D.jpg,senate/jil-tracy.jpg
Senate,Doris Turner,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=3009,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=3009,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=3009,48,D,,https://www.ilga.gov/images/members/%7BD114C73A-2295-431C-8250-38AC3353A20E%7D.jpg,senate/doris-turner.jpg
Senate,Sally J. Turner,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=3007,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=3007,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=3007,44,R,,https://www.ilga.gov/images/members/%7BC47C199A-2C77-4A73-BAE5-AB139ED85CAC%7D.jpg,senate/sally-j-turner.jpg
Senate,Patricia Van Pelt,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2858,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2858,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2858,5,D,,https://www.ilga.gov/images/members/%7B71DA8897-D74A-4034-9A99-79C7FB2BD90E%7D.jpg,senate/patricia-van-pelt.jpg
Senate,Karina Villa,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2987,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2987,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2987,25,D,,https://www.ilga.gov/images/members/%7BC8126F4D-472E-4738-85B5-87A229F8174A%7D.jpg,senate/karina-villa.jpg
Senate,Celina Villanueva,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2976,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2976,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2976,11,D,,https://www.ilga.gov/images/members/%7BF8A21A81-5453-4E94-AC51-E644E1B0C00B%7D.jpg,senate/celina-villanueva.jpg
Senate,Ram Villivalam,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2936,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2936,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2936,8,D,,https://www.ilga.gov/images/members/%7BDBF0BBF0-0E16-4C5F-894A-16C4A14CAF51%7D.jpg,senate/ram-villivalam.jpg
Senate,Craig Wilcox,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2925,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2925,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2925,32,R,,https://www.ilga.gov/images/members/%7BE397F861-68AA-4CC2-9A23-50B9A8E13031%7D.jpg,senate/craig-wilcox.jpg
